% Model,load_one.mph
% Version,COMSOL 6.2.0.339
% Date,"Mar 21 2026, 13:58"
% Table,Table 12 - Global Evaluation 6
% f (Hz),freq (Hz),100*(-mf.PCoil_2)/mf.PCoil_1 (1),-mf.PCoil_2 (W)
1000000,1000000,0.09003355354313212,1.9106286147604655E-10
2000000,2000000,0.3576539995604197,3.2511657593328794E-9
3000000,3000000,0.7859402765928026,1.8388233465516556E-8
4000000,4000000,1.4167963393719354,6.861723934671072E-8
5000000,5000000,2.1538194349678648,2.122053134140775E-7
6000000,6000000,3.1628031921322246,6.142573153643094E-7
7000000,7000000,3.2055717130293235,1.8458735955788081E-6
8000000,8000000,5.455786397001114,6.742347691750278E-6
9000000,9000000,6.701184625995692,4.8098566131431616E-5
10000000,10000000,8.117878416403228,0.0012274492181562297
11000000,11000000,9.594794732824926,4.06945720426375E-5
12000000,12000000,10.758482142297586,1.540424714819042E-5
13000000,13000000,12.656159206495413,9.113150503157494E-6
14000000,14000000,14.359520637733244,6.524402301413713E-6
15000000,15000000,16.35016061353598,5.111412481413075E-6
16000000,16000000,18.778757445985885,4.279814542277171E-6
17000000,17000000,19.76067171253039,3.7274011056026192E-6
18000000,18000000,21.041108739407672,3.3489390102337473E-6
19000000,19000000,23.280221726578258,3.0502227664539705E-6
20000000,20000000,24.814885542198958,2.777241545219522E-6
21000000,21000000,26.465628236423495,2.6319803491193242E-6
22000000,22000000,28.45554506827045,2.5109427222146967E-6
23000000,23000000,-845.6782912511807,2.115781994502971E-6
24000000,24000000,31.76000066677942,2.2927559329611225E-6
25000000,25000000,-30.710589936330518,7.711092130241691E-7
26000000,26000000,34.85170009548412,2.1326276689727874E-6
27000000,27000000,36.42401510401035,2.066611402623392E-6
28000000,28000000,37.90564401981306,2.007833902148111E-6
29000000,29000000,39.33220581632407,1.9549483871827363E-6
30000000,30000000,40.7057650037885,1.9062983990987845E-6
